timestamp,target_send_rate,send_rate,recv_rate,latency,loss,reward,action,bytes_sent,bytes_acked,bytes_lost,MI,send_start_time,send_end_time,recv_start_time,recv_end_time,latency_increase,packet_size,min_lat,sent_latency_inflation,latency_ratio,send_ratio,bandwidth,queue_delay,packet_in_queue,queue_size,recv_ratio,srtt
0.382186,313983.0,313983.0,0.0,0.382186,0.0,-382.1859,-2.241952657699585,15000,0,0,0.382186,0.0,0.382186,0.382186,0.382186,0.0,1500,0.38218588,0.0,1.0,1.0,14084100.0,0.0,1,1373,0.0,0.38218588
0.877797,96850.0,96850.0,313983.0,0.382186,0.1,-568.4149,2.056555986404419,6000,13500,1500,0.495611,0.382186,0.877797,0.382186,0.726153,0.0,1500,0.38218588,0.0,1.0,0.30845607742760095,14084100.0,0.0,1,1373,3.241952657699586,0.38218588
1.283165,296028.0,296028.0,89916.0,0.382186,0.0,-378.2422,0.36573925614356995,15000,6000,0,0.40536799999999984,0.877797,1.283165,0.726153,1.259983,0.0,1500,0.38218588,0.0,1.0,3.292259303905454,14084100.0,0.0,1,1373,0.3037427819897863,0.38218588
1.66902,404297.0,404297.0,296028.0,0.382186,0.0,-369.2024,-0.3670061528682709,19500,15000,0,0.38585500000000006,1.283165,1.66902,1.259983,1.665351,0.0,1500,0.3821858799999999,0.0,1.0,1.3657392561435697,14084100.0,0.0,1,1373,0.7322041857562873,0.38218588
2.074764,295753.0,295753.0,404297.0,0.382186,0.0,-364.4538,1.4027458429336548,15000,19500,0,0.4057440000000001,1.66902,2.074764,1.665351,2.051206,5.551115123125783e-17,1500,0.38218587999999987,1.36813390681758e-16,1.0,0.7315256027939503,14084100.0,0.0,1,1373,1.3670061528682698,0.38218588
2.463157,710620.0,710620.0,295753.0,0.382186,0.0,-369.2144,-1.2140758037567139,34500,15000,0,0.38839299999999977,2.074764,2.463157,2.051206,2.45695,0.0,1500,0.38218587999999987,0.0,1.0000000000000002,2.4027458429336557,14084100.0,0.0,1,1373,0.4161905026039044,0.38218588
2.874429,320956.0,320956.0,710620.0,0.382186,0.0,-351.0187,1.5778170824050903,16500,34500,0,0.4112720000000003,2.463157,2.874429,2.45695,2.845343,0.0,1500,0.38218587999999987,0.0,1.0000000000000002,0.4516557194217358,14084100.0,0.0,1,1373,2.2140758037567214,0.38218588
3.266033,827365.0,827365.0,320956.0,0.382186,0.0,-368.1091,-0.43134188652038574,40500,16500,0,0.39160400000000006,2.874429,3.266033,2.845343,3.256615,0.0,1500,0.38218587999999987,0.0,1.0000000000000002,2.5778170824050832,14084100.0,0.0,1,1373,0.3879251196004209,0.38218588
3.660474,578034.0,578034.0,827365.0,0.382186,0.0,-345.8984,0.7055310010910034,28500,40500,0,0.3944409999999996,3.266033,3.660474,3.256615,3.648219,0.0,1500,0.38218587999999987,0.0,1.0000000000000002,0.6986451031842742,14084100.0,0.0,1,1373,1.4313418865203735,0.38218588
4.049983,985856.0,985856.0,578034.0,0.382186,0.0,-356.8338,0.6658391952514648,48000,28500,0,0.3895090000000003,3.660474,4.049983,3.648219,4.04266,-5.551115123125783e-17,1500,0.38218587999999987,-1.4251556906058418e-16,1.0000000000000002,1.7055310010909954,14084100.0,0.0,1,1373,0.5863276594563918,0.38218588
