timestamp,target_send_rate,send_rate,recv_rate,max_recv_rate,latency,loss,reward,action,bytes_sent,bytes_acked,bytes_lost,MI,send_start_time,send_end_time,recv_start_time,recv_end_time,latency_increase,packet_size,min_lat,sent_latency_inflation,latency_ratio,send_ratio,bandwidth,queue_delay,packet_in_queue,queue_size,cwnd,ssthresh,rto,recv_ratio,srtt
0.22219999999999998,594059.0,594059.0,0.0,0,0.202,0.0,-202.0,-1.8621983528137207,16500,0,0,0.22219999999999998,0.0,0.22219999999999998,0.202,0.202,0.0,1500,0.202,0.0,1.0,1.0,135290.0,0.3424917584448222,8.722618333333333,63,25,0,-1,0.0,0.202
0.5690984403610231,207554.0,207554.0,135290.0,135290,0.37324587922241115,0.0,-297.20072836036536,-2.481309413909912,9000,6000,0,0.34689844036102313,0.22219999999999998,0.5690984403610231,0.202,0.5567934067558578,0.13699670337792885,1500,0.202,0.3949187642220416,1.847751877338669,1.5341380883117468,135290.0,0.8306867309839272,11.235721139135915,63,25,0,-1,0.6518318055061504,0.2775722781451246
1.169098440361023,60000,60000.0,135290.0,135290,0.7157376376672334,0.0,-639.6924868051876,-0.10593847930431366,4500,9000,0,0.5999999999999999,0.5690984403610231,1.169098440361023,0.5567934067558578,1.0889835168896445,0.20549505506689347,1500,0.202,0.34249175844482255,3.543255632016007,0.44349175844482236,135290.0,0.827471890040337,9.074222666963099,63,25,0,-1,2.2548333333333326,0.5336367584248215
2.1690984403610227,60000,60000.0,135290.0,135290,0.9476030742788555,0.0,-871.5579234168097,0.3711715340614319,7500,18000,0,0.9999999999999998,1.169098440361023,2.1690984403610227,1.0889835168896445,2.1533637371572176,-0.17016731341014368,1500,0.202,-0.1701673134101437,4.691104328113146,0.44349175844482225,135290.0,0.3822652967961949,2.8000560002964314,63,25,0,-1,2.2548333333333335,0.8176805581433298
3.33598380827759,82270.0,82270.0,98820.0,135290,0.255220666724708,0.0,-199.67506656986134,0.38934820890426636,12000,13500,0,1.1668853679165672,2.1690984403610227,3.33598380827759,2.1533637371572176,3.246262466298448,-0.11974650013059301,1500,0.202,-0.10262062017659557,1.2634686471520198,0.8325286816724291,135290.0,0.006045043982886077,1,63,25,0,-1,1.2011598182913594,0.40929766774034837
3.755923662245824,114302.0,114302.0,95676.0,135290,0.202,0.0,-148.22127230285872,-0.24173124134540558,6000,6000,0,0.4199398539682342,3.33598380827759,3.755923662245824,3.246262466298448,3.747953735261707,0.0,1500,0.202,0.0,1.0,1.1946741044521312,135290.0,0.0,1,63,25,0,-1,0.8370483601120599,0.32351408697377354
4.147012989364612,92051.0,92051.0,105779.0,135290,0.20200000000000004,0.0,-142.5428316844434,0.3054291009902954,4500,4500,0,0.39108932711878763,3.755923662245824,4.147012989364612,3.747953735261707,4.08828677128542,0.0,1500,0.202,0.0,1.0000000000000002,0.870218163535671,135290.0,0.0,1,63,25,0,-1,1.1491371266453794,0.28340494498438346
4.446599789461307,120166.0,120166.0,92051.0,135290,0.202,0.0,-150.2592921794051,-0.06471575796604156,4500,3000,0,0.29958680009669525,4.147012989364612,4.446599789461307,4.08828677128542,4.349012989364612,0.0,1500,0.202,0.0,1.0,1.305429100990295,135290.0,0.0,1,63,25,0,-1,0.7660316437264979,0.2643256610036686
4.76557457640288,112862.0,112862.0,118252.0,135290,0.202,0.0,-135.5315631234797,0.8783754706382751,4500,6000,0,0.3189747869415731,4.446599789461307,4.76557457640288,4.349012989364612,4.754924718441831,0.0,1500,0.202,0.0,1.0,0.9544133557605546,135290.0,0.0,1,63,25,0,-1,1.0477640468506628,0.23853415822016802
5.105202932849833,211996.0,211996.0,119463.0,119463,0.21269787520482397,0.0,-145.5488497312445,-0.8513633608818054,9000,4500,0,0.3396283564469531,4.76557457640288,5.105202932849833,4.754924718441831,5.056272928091844,0.016046812807235966,1500,0.202,0.04724815376169079,1.0529597782417028,1.7745762621389403,135290.0,0.08023406403618238,2.8091444205758114,63,25,0,-1,0.5635148070755075,0.2304867349782106
5.419590680571028,114508.0,114508.0,135290.0,135290,0.3143276896506556,0.0,-238.2825387886105,-0.9840240478515625,4500,6000,0,0.31438774772119515,5.105202932849833,5.419590680571028,5.056272928091844,5.411066334847705,0.06418725122894431,1500,0.202,0.20416588017248924,1.556077671537899,0.8463913018101256,135290.0,0.17646418946873568,2.808000060846501,63,25,0,-1,1.1814866219222255,0.2673873145144089
6.019590680571029,60000,60000.0,135290.0,135290,0.3433258084320474,0.0,-267.28065757000104,1.2853620052337646,4500,7500,0,0.6000000000000005,5.419590680571028,6.019590680571029,5.411066334847705,5.854558093292524,-0.0719786052428974,1500,0.202,-0.11996434207149556,1.6996327150101356,0.4434917584448184,135290.0,0.05907882458467665,1,63,25,0,-1,2.2548333333333526,0.29967235338079273
6.457158119650649,137122.0,137122.0,88166.0,135290,0.20288864790478014,0.0,-153.33158217623077,-0.22812844812870026,7500,6000,0,0.43756743907962026,6.019590680571029,6.457158119650649,5.854558093292524,6.398987383948957,0.0017772958095602642,1500,0.202,0.004061764315230196,1.004399247053367,1.5552725192532217,135290.0,0.0023697277460806576,1.0534334111278767,63,25,0,-1,0.6429741332278919,0.25967955080283167
6.77959153159575,111651.0,111651.0,130559.0,135290,0.20555459161912132,0.0,-132.16842186894903,0.46879446506500244,4500,6000,0,0.32243341194510045,6.457158119650649,6.77959153159575,6.398987383948957,6.766635923632349,-0.0011848638730402317,1500,0.202,-0.0036747552491302425,1.0175969882134719,0.855173175444649,135290.0,0.0019747731217341176,1,63,25,0,-1,1.1693537972353354,0.23720990918737683
