timestamp,target_send_rate,send_rate,recv_rate,latency,loss,reward,action,bytes_sent,bytes_acked,bytes_lost,MI,send_start_time,send_end_time,recv_start_time,recv_end_time,latency_increase,packet_size,min_lat,sent_latency_inflation,latency_ratio,send_ratio,bandwidth,queue_delay,packet_in_queue,queue_size,recv_ratio,srtt
0.340199,388008.0,388008.0,508788.0,0.312942,0.0,-156.236,0.7607399225234985,16500,1500,0,0.340199,0.0,0.340199,0.316613,0.340199,-0.007341694707861723,1500,0.31294244735393084,-0.021580603961818445,1.0,0.7626133564199973,1634500.0,0.0036708473539308656,0,49,1.3112804694299975,0.31569558286937893
0.673931,683182.0,683182.0,403872.0,0.309272,0.0,-184.8793,-0.4277576208114624,28500,16500,0,0.333732,0.340199,0.673931,0.340199,0.667035,0.0,1500,0.3092715999999999,0.0,1.0,1.691581747748636,1634500.0,0.0,0,49,0.5911626803321344,0.31075034387029976
0.99995,478500.0,478500.0,645227.0,0.309272,0.05555555555555555,-221.6529,0.6447163820266724,19500,25500,1500,0.32601900000000006,0.673931,0.99995,0.667035,0.983203,0.0,1500,0.3092715999999999,0.0,1.0000000000000002,0.7415989338652488,1634500.0,0.0,0,49,1.3484377529886034,0.3094243671085647
1.320155,786997.0,786997.0,478500.0,0.309272,0.0,-161.8938,-0.5213406085968018,31500,19500,0,0.32020499999999996,0.99995,1.320155,0.983203,1.309222,5.551115123125783e-17,1500,0.30927159999999987,1.7336149397029924e-16,1.0,1.6447163820266673,1634500.0,0.0,0,49,0.6080075634485813,0.3092985236879313
1.644915,517305.0,517305.0,786997.0,0.309272,0.0,-66.8769,0.8616151809692383,21000,31500,0,0.32475999999999994,1.320155,1.644915,1.309222,1.629426,0.0,1500,0.30927159999999987,0.0,1.0000000000000002,0.6573149985934751,1634500.0,0.0,0,49,1.5213406085967969,0.30927323043564536
1.968895,963022.0,963022.0,533775.0,0.309272,0.0,-144.8692,-0.42816880345344543,39000,22500,0,0.32398000000000016,1.644915,1.968895,1.629426,1.966647,-5.551115123125783e-17,1500,0.30927159999999987,-1.7134129368646564e-16,1.0,1.8041741689046338,1634500.0,0.0,0,49,0.5542702125078804,0.3092718200008996
2.289224,674306.0,674306.0,963022.0,0.309272,0.0,-12.6611,0.7199084758758545,27000,37500,0,0.32032899999999986,1.968895,2.289224,1.966647,2.278166,-5.551115123125783e-17,1500,0.30927159999999987,-1.7329392657987916e-16,1.0000000000000004,0.7001973419261722,1634500.0,0.0,0,49,1.4281688034534679,0.3092716078095459
2.609985,1159744.0,1159744.0,689495.0,0.309272,0.0,-96.9073,-0.5755525827407837,46500,28500,0,0.3207610000000001,2.289224,2.609985,2.278166,2.608843,-5.551115123125783e-17,1500,0.30927159999999987,-1.7306111214728502e-16,1.0000000000000002,1.682018556092937,1634500.0,0.0,0,49,0.59452376216517,0.30927160061770165
2.936033,736087.0,736087.0,1101875.0,0.309272,0.03225806451612903,-34.4106,0.8606345653533936,30000,45000,1500,0.3260480000000001,2.609985,2.936033,2.608843,2.935559,0.0,1500,0.30927159999999987,0.0,1.0000000000000004,0.6680312868985588,1634500.0,0.0,0,49,1.496935876525572,0.30927160001124654
3.260218,1369589.0,1369589.0,715838.0,0.309272,0.05,-188.7937,-0.7152266502380371,55500,28500,1500,0.32418499999999995,2.936033,3.260218,2.935559,3.254066,-5.551115123125783e-17,1500,0.30927159999999987,-1.712330698640352e-16,1.0000000000000002,1.913266144300781,1634500.0,0.0,0,49,0.5226664376928377,0.3092716000008894
3.590842,798489.0,798489.0,1343617.0,0.309272,0.0,104.5617,0.9528688192367554,33000,55500,0,0.3306239999999998,3.260218,3.590842,3.254066,3.584518,-5.551115123125783e-17,1500,0.30927159999999987,-1.678978636356397e-16,1.0000000000000007,0.5942832393987024,1634500.0,0.0,0,49,1.6826993152487406,0.3092716000000063
3.914055,1559344.0,1559344.0,779482.0,0.309272,0.045454545454545456,-160.1006,-0.6218439340591431,63000,31500,1500,0.323213,3.590842,3.914055,3.584518,3.907809,0.0,1500,0.30927159999999987,0.0,1.0000000000000002,2.0004878668557335,1634500.0,0.0,0,49,0.4998780630305695,0.3092716000000003
4.23856,961464.0,961464.0,1536593.0,0.309272,0.0,163.9985,0.8895714282989502,39000,63000,0,0.3245049999999998,3.914055,4.23856,3.907809,4.235808,0.0,1500,0.30927159999999987,0.0,1.0000000000000004,0.6257111344949011,1634500.0,0.0,0,49,1.5981815647363216,0.3092716000000003
4.555609,1816754.0,1816754.0,976936.0,0.3093,0.0,-8.4042,-0.6635192632675171,72000,39000,0,0.3170489999999999,4.23856,4.555609,4.235808,4.555174,5.6654507117614994e-05,1500,0.30927159999999987,0.00017869325875269657,1.0000915934523533,1.8596457808052629,1634500.0,2.8327253558784187e-05,3.714974570076632,49,0.5377368154310443,0.3093636635740663
4.874257,1092115.0,1092115.0,1634500.0,0.321296,0.022727272727272728,136.6749,0.7580921649932861,43500,64500,1500,0.3186480000000005,4.555609,4.874257,4.555174,4.870867,0.012375075345614661,1500,0.30927159999999987,0.03883622068865762,1.0388791285281598,0.6681645460950568,1634500.0,0.01202421028650952,0,49,1.496637326605076,0.3300237824135184
5.2055,1920039.0,1920039.0,1246389.0,0.314539,0.0,69.3487,-0.43831613659858704,79500,51000,0,0.33124299999999973,4.874257,5.2055,4.870867,5.198212,-0.01014880702544807,1500,0.30927159999999987,-0.03063852615159987,1.0170305898520244,1.5404806409256528,1634500.0,0.005267077772479329,7.733184793663487,49,0.6491480473257453,0.3103127249485458
