timestamp,target_send_rate,send_rate,recv_rate,latency,loss,reward,action,bytes_sent,bytes_acked,bytes_lost,MI,send_start_time,send_end_time,recv_start_time,recv_end_time,latency_increase,packet_size,min_lat,sent_latency_inflation,latency_ratio,send_ratio,bandwidth,queue_delay,packet_in_queue,queue_size,recv_ratio,srtt
0.155674,770841.0,770841.0,0.0,0.155674,0.0,-155.674,-2.369746685028076,15000,0,0,0.155674,0.0,0.155674,0.155674,0.155674,0.0,1500,0.15567403999999999,0.0,1.0,1.0,2789040.0,0.0,1,1625,0.0,0.15567403999999999
0.365507,228754.0,228754.0,634212.0,0.155674,0.0,-141.6239,1.6420220136642456,6000,16500,0,0.20983300000000002,0.155674,0.365507,0.155674,0.363806,0.0,1500,0.15567403999999999,0.0,1.0000000000000002,0.36068928332831257,2789040.0,0.0,1,1625,2.7724693974058647,0.15567403999999999
0.544205,604372.0,604372.0,270835.0,0.155674,0.0,-149.674,0.7503536939620972,13500,6000,0,0.17869800000000002,0.365507,0.544205,0.363806,0.541036,0.0,1500,0.15567403999999999,0.0,1.0,2.231516510248186,2789040.0,0.0,1,1625,0.44812574561179536,0.15567403999999999
0.714359,1057864.0,1057864.0,634599.0,0.155674,0.0,-141.6153,-0.5841050148010254,22500,13500,0,0.17015399999999992,0.544205,0.714359,0.541036,0.711222,0.0,1500,0.15567403999999999,0.0,1.0,1.666981061299635,2789040.0,0.0,1,1625,0.5998868392784056,0.15567403999999999
0.876084,667799.0,667799.0,1057864.0,0.155674,0.0,-132.2384,1.312761664390564,13500,21000,0,0.161725,0.714359,0.876084,0.711222,0.870033,0.0,1500,0.15567403999999999,0.0,1.0000000000000002,0.6312712797804058,2789040.0,0.0,1,1625,1.5841050148010225,0.15567403999999999
1.039248,1544461.0,1544461.0,667799.0,0.155674,0.0,-140.8798,-0.9092370271682739,31500,13500,0,0.16316399999999998,0.876084,1.039248,0.870033,1.031758,0.0,1500,0.15567403999999999,0.0,1.0,2.3127616643905706,2789040.0,0.0,1,1625,0.43238350730078673,0.15567403999999999
1.202424,808941.0,808941.0,1544461.0,0.155674,0.0,-121.4585,1.6642353534698486,16500,31500,0,0.163176,1.039248,1.202424,1.031758,1.194922,0.0,1500,0.15567403999999999,0.0,1.0000000000000002,0.5237694355232421,2789040.0,0.0,1,1625,1.9092370271682746,0.15567403999999999
1.363893,2155210.0,2155210.0,853363.0,0.155674,0.0,-136.7689,-0.3965736925601959,43500,18000,0,0.16146900000000008,1.202424,1.363893,1.194922,1.363666,0.0,1500,0.15567403999999999,0.0,1.0000000000000002,2.525549074014008,43264296.886521764,0.0,1,1625,0.3959535018698486,0.15567403999999999
1.527189,1543213.0,1543213.0,2155210.0,0.155674,0.0,-107.9281,0.9288920164108276,31500,42000,0,0.16329599999999989,1.363893,1.527189,1.363666,1.519567,0.0,1500,0.15567403999999999,0.0,1.0000000000000002,0.7160381190961858,43264296.886521764,0.0,1,1625,1.3965736925601715,0.15567403999999999
1.68441,2976691.0,2976691.0,1543213.0,0.155674,0.0,-121.4861,0.40942054986953735,58500,31500,0,0.15722100000000006,1.527189,1.68441,1.519567,1.682863,0.0,1500,0.15567403999999999,0.0,1.0000000000000002,1.9288920164107743,43264296.886521764,0.0,1,1625,0.5184323391315449,0.15567403999999999
1.841725,4195409.0,4195409.0,2976691.0,0.155674,0.0,-89.7293,-0.3836670517921448,82500,58500,0,0.1573150000000001,1.68441,1.841725,1.682863,1.840084,2.7755575615628914e-17,1500,0.15567403999999999,1.7643333896532886e-16,1.0000000000000002,1.4094205498695873,43264296.886521764,0.0,1,1625,0.7095114372303777,0.15567403999999999
2.000032,3032095.0,3032095.0,4195409.0,0.155674,0.0,-62.7301,1.401976227760315,60000,82500,0,0.15830699999999998,1.841725,2.000032,1.840084,1.997399,0.0,1500,0.15567403999999993,0.0,1.0,0.7227172163308889,43264296.886521764,0.0,1,1625,1.383667051792163,0.15567403999999999
2.15656,7283019.0,7283019.0,3032095.0,0.155674,0.0,-88.5019,-1.089138150215149,142500,60000,0,0.15652799999999978,2.000032,2.15656,1.997399,2.155706,0.0,1500,0.15567403999999993,0.0,1.0000000000000004,2.4019762277600982,43264296.886521764,0.0,1,1625,0.4163238538511785,0.15567403999999999
2.314902,3486136.0,3486136.0,7283019.0,0.155674,0.0,5.672,1.7193562984466553,69000,142500,0,0.1583420000000002,2.15656,2.314902,2.155706,2.312234,0.0,1500,0.15567403999999993,0.0,1.0000000000000002,0.47866628633301184,43264296.886521764,0.0,1,1625,2.0891381502149335,0.15567403999999999
2.471863,9480045.0,9480045.0,3533672.0,0.155674,0.0,-77.39,-0.2468259632587433,186000,70500,0,0.1569609999999999,2.314902,2.471863,2.312234,2.471841,-2.7755575615628914e-17,1500,0.15567403999999993,-1.768307206546222e-16,1.0000000000000004,2.682774249543783,43264296.886521764,0.0,1,1625,0.37274847116564286,0.15567403999999999
2.62811,7603343.0,7603343.0,9480045.0,0.155674,0.0,54.3443,0.5416375398635864,148500,184500,0,0.15624700000000002,2.471863,2.62811,2.471841,2.627537,0.0,1500,0.15567403999999993,0.0,1.0000000000000007,0.8020365547940019,33706848.96511022,0.0,1,1625,1.2468259632590484,0.15567403999999999
2.784744,11721599.0,11721599.0,7603343.0,0.155674,0.0,12.7683,0.28531989455223083,229500,148500,0,0.15663399999999994,2.62811,2.784744,2.627537,2.783784,0.0,1500,0.15567403999999993,0.0,1.0000000000000004,1.5416375398636533,33706848.96511022,0.0,1,1625,0.6486609038389418,0.15567403999999999
